,model,prompt,framerate,video_name,frame,outcome_prediction,outcome_prediction_numeric,true_outcome
67,gemma3,B,3,44_final.mp4,228,Poorly,1,0
68,gemma3,B,3,48_final.mp4,240,Poorly,1,0
69,gemma3,B,3,7_final.mp4,243,Poorly,1,1
70,gemma3,B,3,40_final.mp4,249,Poorly,1,1
71,gemma3,B,3,54_final.mp4,258,Poorly,1,0
72,gemma3,B,3,55_final.mp4,267,Poorly,1,0
73,gemma3,B,3,50_final.mp4,267,Poorly,1,0
74,gemma3,B,3,19_final.mp4,267,Poorly,1,0
75,gemma3,B,3,60_final.mp4,267,Poorly,1,0
76,gemma3,B,3,59_final.mp4,267,Well,0,0
77,gemma3,B,3,41_final.mp4,270,Poorly,1,0
78,gemma3,B,3,57_final.mp4,273,Poorly,1,0
79,gemma3,B,3,9_final.mp4,294,Poorly,1,1
80,gemma3,B,3,31_final.mp4,294,Poorly,1,1
81,gemma3,B,3,46_final.mp4,297,Poorly,1,0
82,gemma3,B,3,53_final.mp4,327,Poorly,1,0
83,gemma3,B,3,21_final.mp4,327,Poorly,1,0
84,gemma3,B,3,49_final.mp4,348,Poorly,1,0
85,gemma3,B,3,24_final.mp4,372,Poorly,1,0
86,gemma3,B,3,30_final.mp4,375,Well,0,1
87,gemma3,B,3,14_final.mp4,387,Poorly,1,1
88,gemma3,B,3,11_final.mp4,423,Poorly,1,1
89,gemma3,B,3,52_final.mp4,594,Poorly,1,0
90,llavallama3,A,3,22_final.mp4,204,Well,0,1
91,llavallama3,A,3,34_final.mp4,210,Poorly,1,1
92,llavallama3,A,3,12_final.mp4,216,Well,0,1
93,llavallama3,A,3,29_final.mp4,216,Well,0,1
94,llavallama3,A,3,15_final.mp4,216,Well,0,1
95,llavallama3,A,3,33_final.mp4,219,Poorly,1,0
96,llavallama3,A,3,44_final.mp4,228,Well,0,0
97,llavallama3,A,3,40_final.mp4,249,Well,0,1
98,llavallama3,A,3,19_final.mp4,267,Well,0,0
99,llavallama3,A,3,41_final.mp4,270,Well,0,0
100,llavallama3,A,3,31_final.mp4,294,Well,0,1
101,llavallama3,A,3,46_final.mp4,297,Well,0,0
102,llavallama3,A,3,21_final.mp4,327,Well,0,0
103,llavallama3,A,3,24_final.mp4,372,Well,0,0
104,llavallama3,A,3,30_final.mp4,375,Well,0,1
105,llavallama3,A,3,14_final.mp4,387,Well,0,1
106,llavallama3,A,3,11_final.mp4,423,Well,0,1
107,deepseek_ocr,A,3,6_final.mp4,183,Well,0,1
108,deepseek_ocr,A,3,22_final.mp4,204,Well,0,1
109,deepseek_ocr,A,3,34_final.mp4,210,Well,0,1
110,deepseek_ocr,A,3,12_final.mp4,216,Well,0,1
111,deepseek_ocr,A,3,15_final.mp4,216,Well,0,1
112,deepseek_ocr,A,3,29_final.mp4,216,Well,0,1
113,deepseek_ocr,A,3,33_final.mp4,219,Well,0,0
114,deepseek_ocr,A,3,44_final.mp4,228,Well,0,0
115,deepseek_ocr,A,3,48_final.mp4,240,Well,0,0
116,deepseek_ocr,A,3,7_final.mp4,243,Well,0,1
117,deepseek_ocr,A,3,40_final.mp4,249,Well,0,1
118,deepseek_ocr,A,3,54_final.mp4,258,Well,0,0
119,deepseek_ocr,A,3,19_final.mp4,267,Well,0,0
120,deepseek_ocr,A,3,60_final.mp4,267,Well,0,0
121,deepseek_ocr,A,3,55_final.mp4,267,Well,0,0
122,deepseek_ocr,A,3,59_final.mp4,267,well,0,0
123,deepseek_ocr,A,3,50_final.mp4,267,Well,0,0
124,deepseek_ocr,A,3,41_final.mp4,270,Well,0,0
125,deepseek_ocr,A,3,57_final.mp4,273,Well,0,0
126,deepseek_ocr,A,3,31_final.mp4,294,Well,0,1
127,deepseek_ocr,A,3,9_final.mp4,294,Well,0,1
128,deepseek_ocr,A,3,46_final.mp4,297,Well,0,0
129,deepseek_ocr,A,3,21_final.mp4,327,Well,0,0
130,deepseek_ocr,A,3,53_final.mp4,327,Well,0,0
131,deepseek_ocr,A,3,49_final.mp4,348,Well,0,0
132,deepseek_ocr,A,3,24_final.mp4,372,Well,0,0
133,deepseek_ocr,A,3,30_final.mp4,375,Well,0,1
134,deepseek_ocr,A,3,14_final.mp4,387,Well,0,1
135,deepseek_ocr,A,3,11_final.mp4,423,Well,0,1
136,deepseek_ocr,A,3,52_final.mp4,594,Well,0,0
137,gemma3,A,3,6_final.mp4,183,Poorly,1,1
138,gemma3,A,3,22_final.mp4,204,Poorly,1,1
139,gemma3,A,3,34_final.mp4,210,Poorly,1,1
140,gemma3,A,3,12_final.mp4,216,Poorly,1,1
141,gemma3,A,3,15_final.mp4,216,Poorly,1,1
142,gemma3,A,3,29_final.mp4,216,Poorly,1,1
143,gemma3,A,3,33_final.mp4,219,Poorly,1,0
144,gemma3,A,3,44_final.mp4,228,Poorly,1,0
145,gemma3,A,3,48_final.mp4,240,Poorly,1,0
146,gemma3,A,3,7_final.mp4,243,Poorly,1,1
147,gemma3,A,3,40_final.mp4,249,Poorly,1,1
148,gemma3,A,3,54_final.mp4,258,Poorly,1,0
149,gemma3,A,3,19_final.mp4,267,Poorly,1,0
150,gemma3,A,3,60_final.mp4,267,Poorly,1,0
151,gemma3,A,3,55_final.mp4,267,Poorly,1,0
152,gemma3,A,3,59_final.mp4,267,Well,0,0
153,gemma3,A,3,50_final.mp4,267,Poorly,1,0
154,gemma3,A,3,41_final.mp4,270,Poorly,1,0
155,gemma3,A,3,57_final.mp4,273,Poorly,1,0
156,gemma3,A,3,31_final.mp4,294,Poorly,1,1
157,gemma3,A,3,9_final.mp4,294,Poorly,1,1
158,gemma3,A,3,46_final.mp4,297,Poorly,1,0
159,gemma3,A,3,21_final.mp4,327,Well,0,0
160,gemma3,A,3,53_final.mp4,327,Poorly,1,0
161,gemma3,A,3,49_final.mp4,348,Poorly,1,0
162,gemma3,A,3,24_final.mp4,372,Poorly,1,0
163,gemma3,A,3,30_final.mp4,375,Well,0,1
164,gemma3,A,3,14_final.mp4,387,Poorly,1,1
165,gemma3,A,3,11_final.mp4,423,Poorly,1,1
166,gemma3,A,3,52_final.mp4,594,Poorly,1,0
