,video_name,model,prompt,framerate,frame,outcome_prediction,outcome_prediction_numeric,true_outcome
71,33_final.mp4,gemma3,B,3,0,Poorly,1,0
72,34_final.mp4,gemma3,B,3,0,Poorly,1,1
73,40_final.mp4,gemma3,B,3,0,Poorly,1,1
74,41_final.mp4,gemma3,B,3,0,Poorly,1,0
75,44_final.mp4,gemma3,B,3,0,Poorly,1,0
76,46_final.mp4,gemma3,B,3,0,Poorly,1,0
77,48_final.mp4,gemma3,B,3,0,Poorly,1,0
78,49_final.mp4,gemma3,B,3,0,Poorly,1,0
79,50_final.mp4,gemma3,B,3,0,Poorly,1,0
80,52_final.mp4,gemma3,B,3,0,Poorly,1,0
81,53_final.mp4,gemma3,B,3,0,Poorly,1,0
82,54_final.mp4,gemma3,B,3,0,Poorly,1,0
83,55_final.mp4,gemma3,B,3,0,Poorly,1,0
84,57_final.mp4,gemma3,B,3,0,Poorly,1,0
85,59_final.mp4,gemma3,B,3,0,Poorly,1,0
86,60_final.mp4,gemma3,B,3,0,Poorly,1,0
87,6_final.mp4,gemma3,B,3,0,Poorly,1,1
88,7_final.mp4,gemma3,B,3,0,Poorly,1,1
89,9_final.mp4,gemma3,B,3,0,Poorly,1,1
90,11_final.mp4,llavallama3,A,3,0,Well,0,1
91,12_final.mp4,llavallama3,A,3,0,Poorly,1,1
92,14_final.mp4,llavallama3,A,3,0,Well,0,1
93,15_final.mp4,llavallama3,A,3,0,Well,0,1
94,19_final.mp4,llavallama3,A,3,0,Well,0,0
95,21_final.mp4,llavallama3,A,3,0,Well,0,0
96,22_final.mp4,llavallama3,A,3,0,Well,0,1
97,24_final.mp4,llavallama3,A,3,0,Well,0,0
98,29_final.mp4,llavallama3,A,3,0,Well,0,1
99,30_final.mp4,llavallama3,A,3,0,Well,0,1
100,31_final.mp4,llavallama3,A,3,0,Well,0,1
101,33_final.mp4,llavallama3,A,3,0,Well,0,0
102,34_final.mp4,llavallama3,A,3,0,Poorly,1,1
103,40_final.mp4,llavallama3,A,3,0,Well,0,1
104,41_final.mp4,llavallama3,A,3,0,Well,0,0
105,44_final.mp4,llavallama3,A,3,0,Well,0,0
106,46_final.mp4,llavallama3,A,3,0,Well,0,0
107,11_final.mp4,deepseek_ocr,A,3,0,Well,0,1
108,12_final.mp4,deepseek_ocr,A,3,0,Well,0,1
109,14_final.mp4,deepseek_ocr,A,3,0,Well,0,1
110,15_final.mp4,deepseek_ocr,A,3,0,Well,0,1
111,19_final.mp4,deepseek_ocr,A,3,0,Well,0,0
112,21_final.mp4,deepseek_ocr,A,3,0,Well,0,0
113,22_final.mp4,deepseek_ocr,A,3,0,Well,0,1
114,24_final.mp4,deepseek_ocr,A,3,0,Well,0,0
115,29_final.mp4,deepseek_ocr,A,3,0,Well,0,1
116,30_final.mp4,deepseek_ocr,A,3,0,Well,0,1
117,31_final.mp4,deepseek_ocr,A,3,0,Well,0,1
118,33_final.mp4,deepseek_ocr,A,3,0,Well,0,0
119,34_final.mp4,deepseek_ocr,A,3,0,Well,0,1
120,40_final.mp4,deepseek_ocr,A,3,0,Well,0,1
121,41_final.mp4,deepseek_ocr,A,3,0,Well,0,0
122,44_final.mp4,deepseek_ocr,A,3,0,Well,0,0
123,46_final.mp4,deepseek_ocr,A,3,0,Well,0,0
124,48_final.mp4,deepseek_ocr,A,3,0,Well,0,0
125,49_final.mp4,deepseek_ocr,A,3,0,Well,0,0
126,50_final.mp4,deepseek_ocr,A,3,0,Well,0,0
127,52_final.mp4,deepseek_ocr,A,3,0,Well,0,0
128,53_final.mp4,deepseek_ocr,A,3,0,Well,0,0
129,54_final.mp4,deepseek_ocr,A,3,0,Well,0,0
130,55_final.mp4,deepseek_ocr,A,3,0,Well,0,0
131,57_final.mp4,deepseek_ocr,A,3,0,Well,0,0
132,59_final.mp4,deepseek_ocr,A,3,0,Well,0,0
133,60_final.mp4,deepseek_ocr,A,3,0,Well,0,0
134,6_final.mp4,deepseek_ocr,A,3,0,Well,0,1
135,7_final.mp4,deepseek_ocr,A,3,0,Well,0,1
136,9_final.mp4,deepseek_ocr,A,3,0,Well,0,1
137,11_final.mp4,gemma3,A,3,0,Poorly,1,1
138,12_final.mp4,gemma3,A,3,0,Poorly,1,1
139,14_final.mp4,gemma3,A,3,0,Poorly,1,1
140,15_final.mp4,gemma3,A,3,0,Poorly,1,1
141,19_final.mp4,gemma3,A,3,0,Poorly,1,0
142,21_final.mp4,gemma3,A,3,0,Poorly,1,0
143,22_final.mp4,gemma3,A,3,0,Poorly,1,1
144,24_final.mp4,gemma3,A,3,0,Poorly,1,0
145,29_final.mp4,gemma3,A,3,0,Poorly,1,1
146,30_final.mp4,gemma3,A,3,0,Poorly,1,1
147,31_final.mp4,gemma3,A,3,0,Poorly,1,1
148,33_final.mp4,gemma3,A,3,0,Poorly,1,0
149,34_final.mp4,gemma3,A,3,0,Poorly,1,1
150,40_final.mp4,gemma3,A,3,0,Poorly,1,1
151,41_final.mp4,gemma3,A,3,0,Poorly,1,0
152,44_final.mp4,gemma3,A,3,0,Poorly,1,0
153,46_final.mp4,gemma3,A,3,0,Poorly,1,0
154,48_final.mp4,gemma3,A,3,0,Poorly,1,0
155,49_final.mp4,gemma3,A,3,0,Poorly,1,0
156,50_final.mp4,gemma3,A,3,0,Poorly,1,0
157,52_final.mp4,gemma3,A,3,0,Poorly,1,0
158,53_final.mp4,gemma3,A,3,0,Poorly,1,0
159,54_final.mp4,gemma3,A,3,0,Poorly,1,0
160,55_final.mp4,gemma3,A,3,0,Poorly,1,0
161,57_final.mp4,gemma3,A,3,0,Poorly,1,0
162,59_final.mp4,gemma3,A,3,0,Poorly,1,0
163,60_final.mp4,gemma3,A,3,0,Poorly,1,0
164,6_final.mp4,gemma3,A,3,0,Poorly,1,1
165,7_final.mp4,gemma3,A,3,0,Poorly,1,1
166,9_final.mp4,gemma3,A,3,0,Poorly,1,1
